record_id,asset_id,inspection_date,operating_hours,failure_risk_pct,condition_score,open_work_orders,priority,data_status
SMMS-0001,TRACK-001,2026-08-24,159,29,0.18,2,Low,Synthetic prototype data
SMMS-0002,TRACK-002,2026-08-24,130,81,0.82,7,High,Synthetic prototype data
SMMS-0003,TRACK-003,2026-08-02,78,77,0.57,2,High,Synthetic prototype data
SMMS-0004,TRACK-004,2026-08-22,239,76,0.38,4,High,Synthetic prototype data
SMMS-0005,TRACK-005,2026-08-17,488,83,0.46,5,High,Synthetic prototype data
SMMS-0006,TRACK-006,2026-08-04,376,34,0.43,7,Low,Synthetic prototype data
SMMS-0007,TRACK-007,2026-08-14,86,31,0.54,4,Low,Synthetic prototype data
SMMS-0008,TRACK-008,2026-08-25,592,41,0.55,6,Low,Synthetic prototype data
SMMS-0009,TRACK-009,2026-08-12,360,38,0.6,7,Low,Synthetic prototype data
SMMS-0010,TRACK-010,2026-08-15,188,76,0.83,5,High,Synthetic prototype data
SMMS-0011,TRACK-011,2026-08-30,280,79,0.17,1,High,Synthetic prototype data
SMMS-0012,TRACK-012,2026-08-07,385,65,0.12,5,Medium,Synthetic prototype data
SMMS-0013,BRIDGE-001,2026-08-20,443,41,0.71,5,Low,Synthetic prototype data
SMMS-0014,BRIDGE-002,2026-09-05,474,73,0.29,4,Medium,Synthetic prototype data
SMMS-0015,BRIDGE-003,2026-09-01,434,67,0.91,3,Medium,Synthetic prototype data
SMMS-0016,BRIDGE-004,2026-09-03,535,70,0.91,6,Medium,Synthetic prototype data
SMMS-0017,BRIDGE-005,2026-08-22,383,63,0.6,3,Medium,Synthetic prototype data
SMMS-0018,BRIDGE-006,2026-08-18,421,35,0.26,2,Low,Synthetic prototype data
SMMS-0019,TRACK-001,2026-08-09,375,46,0.66,5,Medium,Synthetic prototype data
SMMS-0020,TRACK-002,2026-08-30,59,44,0.49,4,Low,Synthetic prototype data
SMMS-0021,TRACK-003,2026-09-02,589,61,0.39,6,Medium,Synthetic prototype data
SMMS-0022,TRACK-004,2026-08-25,239,65,0.81,6,Medium,Synthetic prototype data
SMMS-0023,TRACK-005,2026-08-15,226,60,0.67,7,Medium,Synthetic prototype data
SMMS-0024,TRACK-006,2026-08-12,448,61,0.74,6,Medium,Synthetic prototype data
SMMS-0025,TRACK-007,2026-08-05,117,64,0.92,1,Medium,Synthetic prototype data
SMMS-0026,TRACK-008,2026-08-23,233,15,0.19,7,Low,Synthetic prototype data
SMMS-0027,TRACK-009,2026-08-06,128,67,0.38,7,Medium,Synthetic prototype data
SMMS-0028,TRACK-010,2026-08-29,277,60,0.61,6,Medium,Synthetic prototype data
SMMS-0029,TRACK-011,2026-08-04,517,31,0.14,3,Low,Synthetic prototype data
SMMS-0030,TRACK-012,2026-08-09,448,54,0.43,3,Medium,Synthetic prototype data
SMMS-0031,BRIDGE-001,2026-09-05,351,71,0.66,6,Medium,Synthetic prototype data
SMMS-0032,BRIDGE-002,2026-08-17,242,66,0.74,1,Medium,Synthetic prototype data
SMMS-0033,BRIDGE-003,2026-09-05,595,67,0.31,4,Medium,Synthetic prototype data
SMMS-0034,BRIDGE-004,2026-08-15,155,55,0.14,5,Medium,Synthetic prototype data
SMMS-0035,BRIDGE-005,2026-08-26,453,50,0.18,4,Medium,Synthetic prototype data
SMMS-0036,BRIDGE-006,2026-08-26,448,34,0.27,4,Low,Synthetic prototype data
SMMS-0037,TRACK-001,2026-09-04,367,48,0.12,3,Medium,Synthetic prototype data
SMMS-0038,TRACK-002,2026-08-06,311,29,0.5,1,Low,Synthetic prototype data
SMMS-0039,TRACK-003,2026-08-13,143,43,0.52,5,Low,Synthetic prototype data
SMMS-0040,TRACK-004,2026-08-16,540,49,0.17,6,Medium,Synthetic prototype data
SMMS-0041,TRACK-005,2026-08-27,229,76,0.41,5,High,Synthetic prototype data
SMMS-0042,TRACK-006,2026-08-09,549,76,0.26,7,High,Synthetic prototype data
SMMS-0043,TRACK-007,2026-08-16,73,55,0.44,3,Medium,Synthetic prototype data
SMMS-0044,TRACK-008,2026-08-08,269,55,0.62,2,Medium,Synthetic prototype data
SMMS-0045,TRACK-009,2026-08-14,187,37,0.21,1,Low,Synthetic prototype data
SMMS-0046,TRACK-010,2026-08-31,313,69,0.86,6,Medium,Synthetic prototype data
SMMS-0047,TRACK-011,2026-08-04,333,56,0.93,2,Medium,Synthetic prototype data
SMMS-0048,TRACK-012,2026-08-06,263,32,0.16,5,Low,Synthetic prototype data
SMMS-0049,BRIDGE-001,2026-08-22,558,71,0.16,7,Medium,Synthetic prototype data
SMMS-0050,BRIDGE-002,2026-08-13,167,58,0.28,2,Medium,Synthetic prototype data
SMMS-0051,BRIDGE-003,2026-08-10,94,47,0.19,7,Medium,Synthetic prototype data
SMMS-0052,BRIDGE-004,2026-08-20,309,46,0.15,4,Medium,Synthetic prototype data
SMMS-0053,BRIDGE-005,2026-09-03,238,42,0.71,1,Low,Synthetic prototype data
SMMS-0054,BRIDGE-006,2026-08-30,480,48,0.83,4,Medium,Synthetic prototype data
SMMS-0055,TRACK-001,2026-08-14,485,46,0.82,2,Medium,Synthetic prototype data
SMMS-0056,TRACK-002,2026-08-12,561,67,0.27,4,Medium,Synthetic prototype data
SMMS-0057,TRACK-003,2026-08-25,530,27,0.13,4,Low,Synthetic prototype data
SMMS-0058,TRACK-004,2026-09-04,165,67,0.17,3,Medium,Synthetic prototype data
SMMS-0059,TRACK-005,2026-08-11,362,53,0.53,5,Medium,Synthetic prototype data
SMMS-0060,TRACK-006,2026-08-13,404,60,0.66,5,Medium,Synthetic prototype data
SMMS-0061,TRACK-007,2026-09-02,355,65,0.16,3,Medium,Synthetic prototype data
SMMS-0062,TRACK-008,2026-08-24,458,46,0.29,4,Medium,Synthetic prototype data
SMMS-0063,TRACK-009,2026-08-24,317,40,0.36,6,Low,Synthetic prototype data
SMMS-0064,TRACK-010,2026-08-03,162,51,0.66,2,Medium,Synthetic prototype data
SMMS-0065,TRACK-011,2026-08-12,483,59,0.36,3,Medium,Synthetic prototype data
SMMS-0066,TRACK-012,2026-08-05,236,89,0.37,5,High,Synthetic prototype data
SMMS-0067,BRIDGE-001,2026-08-30,244,66,0.26,2,Medium,Synthetic prototype data
SMMS-0068,BRIDGE-002,2026-08-21,472,35,0.12,5,Low,Synthetic prototype data
SMMS-0069,BRIDGE-003,2026-08-28,376,64,0.23,2,Medium,Synthetic prototype data
SMMS-0070,BRIDGE-004,2026-08-02,497,97,0.13,5,High,Synthetic prototype data
SMMS-0071,BRIDGE-005,2026-08-05,232,62,0.33,1,Medium,Synthetic prototype data
SMMS-0072,BRIDGE-006,2026-08-21,518,69,0.87,6,Medium,Synthetic prototype data
SMMS-0073,TRACK-001,2026-08-29,234,60,0.16,7,Medium,Synthetic prototype data
SMMS-0074,TRACK-002,2026-08-05,477,47,0.29,5,Medium,Synthetic prototype data
SMMS-0075,TRACK-003,2026-08-30,395,55,0.49,1,Medium,Synthetic prototype data
SMMS-0076,TRACK-004,2026-08-27,361,48,0.48,6,Medium,Synthetic prototype data
SMMS-0077,TRACK-005,2026-08-21,559,96,0.45,5,High,Synthetic prototype data
SMMS-0078,TRACK-006,2026-08-18,108,67,0.59,5,Medium,Synthetic prototype data
SMMS-0079,TRACK-007,2026-08-28,476,29,0.2,4,Low,Synthetic prototype data
SMMS-0080,TRACK-008,2026-09-01,475,55,0.44,1,Medium,Synthetic prototype data
