record_id,asset_id,inspection_date,operating_hours,failure_risk_pct,condition_score,open_work_orders,priority,data_status
TDMS-0001,POWER-001,2026-08-14,362,62,0.87,3,Medium,Synthetic prototype data
TDMS-0002,POWER-002,2026-08-10,188,26,0.74,3,Low,Synthetic prototype data
TDMS-0003,POWER-003,2026-08-14,161,66,0.54,3,Medium,Synthetic prototype data
TDMS-0004,POWER-004,2026-08-09,81,42,0.39,1,Low,Synthetic prototype data
TDMS-0005,POWER-005,2026-09-04,474,59,0.78,5,Medium,Synthetic prototype data
TDMS-0006,POWER-006,2026-08-01,436,65,0.44,4,Medium,Synthetic prototype data
TDMS-0007,POWER-007,2026-08-24,567,64,0.35,2,Medium,Synthetic prototype data
TDMS-0008,POWER-008,2026-09-03,107,56,0.31,2,Medium,Synthetic prototype data
TDMS-0009,SUB-001,2026-08-07,492,89,0.8,5,High,Synthetic prototype data
TDMS-0010,SUB-002,2026-08-30,204,51,0.56,3,Medium,Synthetic prototype data
TDMS-0011,SUB-003,2026-08-29,438,82,0.82,2,High,Synthetic prototype data
TDMS-0012,SUB-004,2026-08-28,415,57,0.75,5,Medium,Synthetic prototype data
TDMS-0013,POWER-001,2026-08-03,587,36,0.56,4,Low,Synthetic prototype data
TDMS-0014,POWER-002,2026-08-23,282,63,0.17,5,Medium,Synthetic prototype data
TDMS-0015,POWER-003,2026-08-27,214,69,0.21,4,Medium,Synthetic prototype data
TDMS-0016,POWER-004,2026-08-27,450,41,0.44,2,Low,Synthetic prototype data
TDMS-0017,POWER-005,2026-08-17,461,42,0.44,4,Low,Synthetic prototype data
TDMS-0018,POWER-006,2026-08-31,371,36,0.59,4,Low,Synthetic prototype data
TDMS-0019,POWER-007,2026-09-01,446,36,0.46,6,Low,Synthetic prototype data
TDMS-0020,POWER-008,2026-08-15,312,75,0.69,5,High,Synthetic prototype data
TDMS-0021,SUB-001,2026-08-10,293,46,0.11,6,Medium,Synthetic prototype data
TDMS-0022,SUB-002,2026-08-20,78,56,0.22,5,Medium,Synthetic prototype data
TDMS-0023,SUB-003,2026-08-23,140,36,0.45,5,Low,Synthetic prototype data
TDMS-0024,SUB-004,2026-08-18,388,55,0.62,5,Medium,Synthetic prototype data
TDMS-0025,POWER-001,2026-08-22,260,30,0.89,7,Low,Synthetic prototype data
TDMS-0026,POWER-002,2026-08-18,224,42,0.65,5,Low,Synthetic prototype data
TDMS-0027,POWER-003,2026-08-07,73,54,0.57,3,Medium,Synthetic prototype data
TDMS-0028,POWER-004,2026-09-02,254,60,0.9,1,Medium,Synthetic prototype data
TDMS-0029,POWER-005,2026-08-24,258,85,0.25,6,High,Synthetic prototype data
TDMS-0030,POWER-006,2026-08-01,455,45,0.21,6,Medium,Synthetic prototype data
TDMS-0031,POWER-007,2026-08-13,440,46,0.22,4,Medium,Synthetic prototype data
TDMS-0032,POWER-008,2026-08-21,513,68,0.65,5,Medium,Synthetic prototype data
TDMS-0033,SUB-001,2026-08-16,215,45,0.26,6,Medium,Synthetic prototype data
TDMS-0034,SUB-002,2026-09-04,460,47,0.52,1,Medium,Synthetic prototype data
TDMS-0035,SUB-003,2026-08-24,540,48,0.38,7,Medium,Synthetic prototype data
TDMS-0036,SUB-004,2026-08-29,339,40,0.38,7,Low,Synthetic prototype data
TDMS-0037,POWER-001,2026-08-09,56,25,0.57,3,Low,Synthetic prototype data
TDMS-0038,POWER-002,2026-08-22,279,57,0.31,7,Medium,Synthetic prototype data
TDMS-0039,POWER-003,2026-08-06,551,36,0.47,5,Low,Synthetic prototype data
TDMS-0040,POWER-004,2026-08-02,313,73,0.91,5,Medium,Synthetic prototype data
TDMS-0041,POWER-005,2026-08-16,298,92,0.67,2,High,Synthetic prototype data
TDMS-0042,POWER-006,2026-08-08,357,43,0.55,6,Low,Synthetic prototype data
TDMS-0043,POWER-007,2026-08-10,70,31,0.48,1,Low,Synthetic prototype data
TDMS-0044,POWER-008,2026-08-12,460,45,0.12,2,Medium,Synthetic prototype data
TDMS-0045,SUB-001,2026-08-24,302,52,0.33,6,Medium,Synthetic prototype data
TDMS-0046,SUB-002,2026-08-27,462,65,0.26,2,Medium,Synthetic prototype data
TDMS-0047,SUB-003,2026-08-24,116,67,0.63,5,Medium,Synthetic prototype data
TDMS-0048,SUB-004,2026-08-19,396,41,0.67,6,Low,Synthetic prototype data
TDMS-0049,POWER-001,2026-08-10,223,78,0.73,4,High,Synthetic prototype data
TDMS-0050,POWER-002,2026-08-19,90,73,0.4,6,Medium,Synthetic prototype data
TDMS-0051,POWER-003,2026-08-21,519,42,0.18,5,Low,Synthetic prototype data
TDMS-0052,POWER-004,2026-09-02,568,58,0.26,6,Medium,Synthetic prototype data
TDMS-0053,POWER-005,2026-09-02,354,72,0.14,1,Medium,Synthetic prototype data
TDMS-0054,POWER-006,2026-08-15,186,56,0.39,5,Medium,Synthetic prototype data
TDMS-0055,POWER-007,2026-08-13,278,28,0.26,5,Low,Synthetic prototype data
TDMS-0056,POWER-008,2026-08-30,113,42,0.3,6,Low,Synthetic prototype data
TDMS-0057,SUB-001,2026-08-08,458,82,0.13,1,High,Synthetic prototype data
TDMS-0058,SUB-002,2026-08-11,163,41,0.83,2,Low,Synthetic prototype data
TDMS-0059,SUB-003,2026-08-27,453,35,0.38,7,Low,Synthetic prototype data
TDMS-0060,SUB-004,2026-09-01,289,61,0.27,4,Medium,Synthetic prototype data
