record_id,asset_id,inspection_date,operating_hours,failure_risk_pct,condition_score,open_work_orders,priority,data_status
TMS-0001,SIG-001,2026-08-29,324,55,0.61,5,Medium,Synthetic prototype data
TMS-0002,SIG-002,2026-08-02,270,49,0.16,7,Medium,Synthetic prototype data
TMS-0003,SIG-003,2026-08-28,571,53,0.63,7,Medium,Synthetic prototype data
TMS-0004,SIG-004,2026-08-14,294,53,0.33,5,Medium,Synthetic prototype data
TMS-0005,SIG-005,2026-08-13,483,48,0.67,4,Medium,Synthetic prototype data
TMS-0006,SIG-006,2026-08-19,511,52,0.93,4,Medium,Synthetic prototype data
TMS-0007,SIG-007,2026-08-12,354,27,0.51,7,Low,Synthetic prototype data
TMS-0008,SIG-008,2026-08-13,446,40,0.78,2,Low,Synthetic prototype data
TMS-0009,SIG-009,2026-09-04,120,28,0.5,5,Low,Synthetic prototype data
TMS-0010,SIG-010,2026-08-10,584,41,0.47,7,Low,Synthetic prototype data
TMS-0011,SIG-011,2026-08-31,420,49,0.27,4,Medium,Synthetic prototype data
TMS-0012,SIG-012,2026-09-02,386,40,0.27,1,Low,Synthetic prototype data
TMS-0013,POINT-001,2026-08-27,307,74,0.87,5,Medium,Synthetic prototype data
TMS-0014,POINT-002,2026-08-26,540,23,0.24,1,Low,Synthetic prototype data
TMS-0015,POINT-003,2026-08-04,302,41,0.69,6,Low,Synthetic prototype data
TMS-0016,POINT-004,2026-08-02,155,62,0.6,6,Medium,Synthetic prototype data
TMS-0017,POINT-005,2026-09-03,224,66,0.18,6,Medium,Synthetic prototype data
TMS-0018,POINT-006,2026-08-07,62,50,0.5,6,Medium,Synthetic prototype data
TMS-0019,POINT-007,2026-08-24,456,54,0.27,7,Medium,Synthetic prototype data
TMS-0020,POINT-008,2026-08-03,527,65,0.12,7,Medium,Synthetic prototype data
TMS-0021,SIG-001,2026-08-20,154,45,0.18,5,Medium,Synthetic prototype data
TMS-0022,SIG-002,2026-08-01,566,66,0.52,6,Medium,Synthetic prototype data
TMS-0023,SIG-003,2026-09-04,169,26,0.37,4,Low,Synthetic prototype data
TMS-0024,SIG-004,2026-08-10,252,36,0.39,7,Low,Synthetic prototype data
TMS-0025,SIG-005,2026-08-28,222,65,0.73,7,Medium,Synthetic prototype data
TMS-0026,SIG-006,2026-08-02,342,31,0.31,3,Low,Synthetic prototype data
TMS-0027,SIG-007,2026-08-11,457,91,0.56,1,High,Synthetic prototype data
TMS-0028,SIG-008,2026-08-24,533,83,0.89,6,High,Synthetic prototype data
TMS-0029,SIG-009,2026-08-21,394,60,0.22,5,Medium,Synthetic prototype data
TMS-0030,SIG-010,2026-08-16,426,61,0.75,7,Medium,Synthetic prototype data
TMS-0031,SIG-011,2026-08-03,247,51,0.24,4,Medium,Synthetic prototype data
TMS-0032,SIG-012,2026-09-05,581,51,0.4,2,Medium,Synthetic prototype data
TMS-0033,POINT-001,2026-08-23,528,64,0.64,2,Medium,Synthetic prototype data
TMS-0034,POINT-002,2026-08-06,336,28,0.62,1,Low,Synthetic prototype data
TMS-0035,POINT-003,2026-08-01,71,40,0.2,6,Low,Synthetic prototype data
TMS-0036,POINT-004,2026-08-20,138,50,0.65,3,Medium,Synthetic prototype data
TMS-0037,POINT-005,2026-08-04,121,74,0.37,7,Medium,Synthetic prototype data
TMS-0038,POINT-006,2026-08-15,363,60,0.17,1,Medium,Synthetic prototype data
TMS-0039,POINT-007,2026-08-25,579,69,0.87,3,Medium,Synthetic prototype data
TMS-0040,POINT-008,2026-08-26,453,78,0.68,6,High,Synthetic prototype data
TMS-0041,SIG-001,2026-08-28,305,52,0.14,3,Medium,Synthetic prototype data
TMS-0042,SIG-002,2026-08-29,374,34,0.75,6,Low,Synthetic prototype data
TMS-0043,SIG-003,2026-08-03,484,59,0.31,1,Medium,Synthetic prototype data
TMS-0044,SIG-004,2026-08-05,212,59,0.34,4,Medium,Synthetic prototype data
TMS-0045,SIG-005,2026-08-25,381,43,0.3,6,Low,Synthetic prototype data
TMS-0046,SIG-006,2026-08-23,561,87,0.35,6,High,Synthetic prototype data
TMS-0047,SIG-007,2026-08-23,278,61,0.57,4,Medium,Synthetic prototype data
TMS-0048,SIG-008,2026-08-25,276,58,0.93,2,Medium,Synthetic prototype data
TMS-0049,SIG-009,2026-08-04,352,52,0.12,4,Medium,Synthetic prototype data
TMS-0050,SIG-010,2026-08-06,491,66,0.64,6,Medium,Synthetic prototype data
TMS-0051,SIG-011,2026-08-26,465,60,0.35,3,Medium,Synthetic prototype data
TMS-0052,SIG-012,2026-08-24,323,46,0.43,6,Medium,Synthetic prototype data
TMS-0053,POINT-001,2026-08-25,532,61,0.69,5,Medium,Synthetic prototype data
TMS-0054,POINT-002,2026-08-27,113,70,0.48,6,Medium,Synthetic prototype data
TMS-0055,POINT-003,2026-08-11,84,51,0.57,6,Medium,Synthetic prototype data
TMS-0056,POINT-004,2026-08-30,407,35,0.52,6,Low,Synthetic prototype data
TMS-0057,POINT-005,2026-08-19,109,55,0.84,6,Medium,Synthetic prototype data
TMS-0058,POINT-006,2026-08-14,461,87,0.49,5,High,Synthetic prototype data
TMS-0059,POINT-007,2026-08-10,518,64,0.22,6,Medium,Synthetic prototype data
TMS-0060,POINT-008,2026-08-23,203,63,0.52,4,Medium,Synthetic prototype data
TMS-0061,SIG-001,2026-08-31,331,56,0.83,3,Medium,Synthetic prototype data
TMS-0062,SIG-002,2026-08-07,568,52,0.49,1,Medium,Synthetic prototype data
TMS-0063,SIG-003,2026-08-16,74,69,0.94,2,Medium,Synthetic prototype data
TMS-0064,SIG-004,2026-08-20,484,85,0.28,3,High,Synthetic prototype data
TMS-0065,SIG-005,2026-09-01,347,67,0.34,3,Medium,Synthetic prototype data
TMS-0066,SIG-006,2026-08-10,101,13,0.47,6,Low,Synthetic prototype data
TMS-0067,SIG-007,2026-08-19,455,42,0.93,6,Low,Synthetic prototype data
TMS-0068,SIG-008,2026-08-03,165,69,0.53,3,Medium,Synthetic prototype data
TMS-0069,SIG-009,2026-08-27,79,74,0.29,6,Medium,Synthetic prototype data
TMS-0070,SIG-010,2026-08-14,431,63,0.12,5,Medium,Synthetic prototype data
TMS-0071,SIG-011,2026-08-23,298,65,0.84,1,Medium,Synthetic prototype data
TMS-0072,SIG-012,2026-09-02,343,28,0.89,7,Low,Synthetic prototype data
TMS-0073,POINT-001,2026-09-03,460,48,0.41,1,Medium,Synthetic prototype data
TMS-0074,POINT-002,2026-08-06,529,67,0.66,1,Medium,Synthetic prototype data
TMS-0075,POINT-003,2026-08-21,553,73,0.48,6,Medium,Synthetic prototype data
TMS-0076,POINT-004,2026-08-05,127,69,0.92,7,Medium,Synthetic prototype data
TMS-0077,POINT-005,2026-08-02,420,43,0.42,3,Low,Synthetic prototype data
TMS-0078,POINT-006,2026-08-07,98,44,0.38,6,Low,Synthetic prototype data
TMS-0079,POINT-007,2026-08-27,326,64,0.48,5,Medium,Synthetic prototype data
TMS-0080,POINT-008,2026-09-04,186,61,0.24,4,Medium,Synthetic prototype data
