availability_id,date,route_id,time_window,daily_capacity,available_slots,committed_slots,availability_status,data_status
CA-001-06,2026-09-05,R001,06:00-09:00,160,48,112,Available,Synthetic planning data
CA-001-09,2026-09-05,R001,09:00-12:00,160,23,137,Constrained,Synthetic planning data
CA-001-12,2026-09-05,R001,12:00-15:00,160,40,120,Available,Synthetic planning data
CA-001-15,2026-09-05,R001,15:00-18:00,160,32,128,Available,Synthetic planning data
CA-001-18,2026-09-05,R001,18:00-21:00,160,45,115,Available,Synthetic planning data
CA-001-21,2026-09-05,R001,21:00-00:00,160,21,139,Constrained,Synthetic planning data
CA-002-06,2026-09-05,R002,06:00-09:00,160,49,111,Available,Synthetic planning data
CA-002-09,2026-09-05,R002,09:00-12:00,160,43,117,Available,Synthetic planning data
CA-002-12,2026-09-05,R002,12:00-15:00,160,34,126,Available,Synthetic planning data
CA-002-15,2026-09-05,R002,15:00-18:00,160,26,134,Constrained,Synthetic planning data
CA-002-18,2026-09-05,R002,18:00-21:00,160,52,108,Available,Synthetic planning data
CA-002-21,2026-09-05,R002,21:00-00:00,160,29,131,Constrained,Synthetic planning data
CA-003-06,2026-09-05,R003,06:00-09:00,160,36,124,Available,Synthetic planning data
CA-003-09,2026-09-05,R003,09:00-12:00,160,33,127,Available,Synthetic planning data
CA-003-12,2026-09-05,R003,12:00-15:00,160,27,133,Constrained,Synthetic planning data
CA-003-15,2026-09-05,R003,15:00-18:00,160,33,127,Available,Synthetic planning data
CA-003-18,2026-09-05,R003,18:00-21:00,160,24,136,Constrained,Synthetic planning data
CA-003-21,2026-09-05,R003,21:00-00:00,160,20,140,Constrained,Synthetic planning data
CA-004-06,2026-09-05,R004,06:00-09:00,160,29,131,Constrained,Synthetic planning data
CA-004-09,2026-09-05,R004,09:00-12:00,160,23,137,Constrained,Synthetic planning data
CA-004-12,2026-09-05,R004,12:00-15:00,160,33,127,Available,Synthetic planning data
CA-004-15,2026-09-05,R004,15:00-18:00,160,48,112,Available,Synthetic planning data
CA-004-18,2026-09-05,R004,18:00-21:00,160,25,135,Constrained,Synthetic planning data
CA-004-21,2026-09-05,R004,21:00-00:00,160,20,140,Constrained,Synthetic planning data
CA-005-06,2026-09-05,R005,06:00-09:00,160,23,137,Constrained,Synthetic planning data
CA-005-09,2026-09-05,R005,09:00-12:00,160,36,124,Available,Synthetic planning data
CA-005-12,2026-09-05,R005,12:00-15:00,160,29,131,Constrained,Synthetic planning data
CA-005-15,2026-09-05,R005,15:00-18:00,160,36,124,Available,Synthetic planning data
CA-005-18,2026-09-05,R005,18:00-21:00,160,20,140,Constrained,Synthetic planning data
CA-005-21,2026-09-05,R005,21:00-00:00,160,30,130,Constrained,Synthetic planning data
CA-006-06,2026-09-05,R006,06:00-09:00,160,33,127,Available,Synthetic planning data
CA-006-09,2026-09-05,R006,09:00-12:00,160,34,126,Available,Synthetic planning data
CA-006-12,2026-09-05,R006,12:00-15:00,160,38,122,Available,Synthetic planning data
CA-006-15,2026-09-05,R006,15:00-18:00,160,45,115,Available,Synthetic planning data
CA-006-18,2026-09-05,R006,18:00-21:00,160,35,125,Available,Synthetic planning data
CA-006-21,2026-09-05,R006,21:00-00:00,160,47,113,Available,Synthetic planning data
CA-007-06,2026-09-05,R007,06:00-09:00,160,37,123,Available,Synthetic planning data
CA-007-09,2026-09-05,R007,09:00-12:00,160,28,132,Constrained,Synthetic planning data
CA-007-12,2026-09-05,R007,12:00-15:00,160,27,133,Constrained,Synthetic planning data
CA-007-15,2026-09-05,R007,15:00-18:00,160,30,130,Constrained,Synthetic planning data
CA-007-18,2026-09-05,R007,18:00-21:00,160,39,121,Available,Synthetic planning data
CA-007-21,2026-09-05,R007,21:00-00:00,160,28,132,Constrained,Synthetic planning data
CA-008-06,2026-09-05,R008,06:00-09:00,160,50,110,Available,Synthetic planning data
CA-008-09,2026-09-05,R008,09:00-12:00,160,35,125,Available,Synthetic planning data
CA-008-12,2026-09-05,R008,12:00-15:00,160,48,112,Available,Synthetic planning data
CA-008-15,2026-09-05,R008,15:00-18:00,160,42,118,Available,Synthetic planning data
CA-008-18,2026-09-05,R008,18:00-21:00,160,31,129,Constrained,Synthetic planning data
