forecast_date,corridor,forecast_goods_trains,planned_goods_trains,forecast_freight_tonnes_x1000,forecast_confidence,data_status
2026-09-05,MAS-CBE,13,10,148,0.75,Synthetic forecast/demo
2026-09-05,MAS-MDU,14,16,218,0.86,Synthetic forecast/demo
2026-09-05,MDU-NCJ,13,14,89,0.57,Synthetic forecast/demo
2026-09-05,MAS-SBC,8,7,103,0.78,Synthetic forecast/demo
2026-09-06,MAS-CBE,6,5,68,0.63,Synthetic forecast/demo
2026-09-06,MAS-MDU,18,16,155,0.76,Synthetic forecast/demo
2026-09-06,MDU-NCJ,9,9,180,0.8,Synthetic forecast/demo
2026-09-06,MAS-SBC,18,20,168,0.89,Synthetic forecast/demo
2026-09-07,MAS-CBE,12,12,210,0.83,Synthetic forecast/demo
2026-09-07,MAS-MDU,15,14,61,0.58,Synthetic forecast/demo
2026-09-07,MDU-NCJ,15,14,85,0.6,Synthetic forecast/demo
2026-09-07,MAS-SBC,9,8,169,0.62,Synthetic forecast/demo
2026-09-08,MAS-CBE,9,9,200,0.86,Synthetic forecast/demo
2026-09-08,MAS-MDU,14,14,177,0.81,Synthetic forecast/demo
2026-09-08,MDU-NCJ,3,3,211,0.59,Synthetic forecast/demo
2026-09-08,MAS-SBC,12,14,151,0.83,Synthetic forecast/demo
2026-09-09,MAS-CBE,12,11,128,0.56,Synthetic forecast/demo
2026-09-09,MAS-MDU,21,20,178,0.8,Synthetic forecast/demo
2026-09-09,MDU-NCJ,13,12,160,0.76,Synthetic forecast/demo
2026-09-09,MAS-SBC,17,16,111,0.76,Synthetic forecast/demo
2026-09-10,MAS-CBE,12,12,70,0.68,Synthetic forecast/demo
2026-09-10,MAS-MDU,15,13,91,0.61,Synthetic forecast/demo
2026-09-10,MDU-NCJ,15,14,63,0.64,Synthetic forecast/demo
2026-09-10,MAS-SBC,8,9,212,0.86,Synthetic forecast/demo
2026-09-11,MAS-CBE,11,10,216,0.73,Synthetic forecast/demo
2026-09-11,MAS-MDU,11,10,89,0.57,Synthetic forecast/demo
2026-09-11,MDU-NCJ,9,11,99,0.72,Synthetic forecast/demo
2026-09-11,MAS-SBC,6,5,164,0.65,Synthetic forecast/demo
2026-09-12,MAS-CBE,13,15,183,0.89,Synthetic forecast/demo
2026-09-12,MAS-MDU,9,11,204,0.58,Synthetic forecast/demo
2026-09-12,MDU-NCJ,15,14,95,0.58,Synthetic forecast/demo
2026-09-12,MAS-SBC,7,7,148,0.74,Synthetic forecast/demo
2026-09-13,MAS-CBE,12,11,132,0.85,Synthetic forecast/demo
2026-09-13,MAS-MDU,11,12,85,0.65,Synthetic forecast/demo
2026-09-13,MDU-NCJ,7,7,77,0.82,Synthetic forecast/demo
2026-09-13,MAS-SBC,20,24,181,0.59,Synthetic forecast/demo
2026-09-14,MAS-CBE,13,11,121,0.85,Synthetic forecast/demo
2026-09-14,MAS-MDU,10,10,102,0.71,Synthetic forecast/demo
2026-09-14,MDU-NCJ,11,12,81,0.86,Synthetic forecast/demo
2026-09-14,MAS-SBC,10,10,196,0.64,Synthetic forecast/demo
2026-09-15,MAS-CBE,6,5,65,0.86,Synthetic forecast/demo
2026-09-15,MAS-MDU,11,11,210,0.72,Synthetic forecast/demo
2026-09-15,MDU-NCJ,13,13,192,0.6,Synthetic forecast/demo
2026-09-15,MAS-SBC,14,17,129,0.72,Synthetic forecast/demo
2026-09-16,MAS-CBE,20,17,119,0.62,Synthetic forecast/demo
2026-09-16,MAS-MDU,13,11,148,0.59,Synthetic forecast/demo
2026-09-16,MDU-NCJ,14,13,206,0.71,Synthetic forecast/demo
2026-09-16,MAS-SBC,15,15,157,0.62,Synthetic forecast/demo
2026-09-17,MAS-CBE,2,2,190,0.71,Synthetic forecast/demo
2026-09-17,MAS-MDU,15,18,178,0.67,Synthetic forecast/demo
2026-09-17,MDU-NCJ,11,10,69,0.77,Synthetic forecast/demo
2026-09-17,MAS-SBC,13,15,187,0.62,Synthetic forecast/demo
2026-09-18,MAS-CBE,14,14,105,0.55,Synthetic forecast/demo
2026-09-18,MAS-MDU,8,7,162,0.57,Synthetic forecast/demo
2026-09-18,MDU-NCJ,17,14,129,0.77,Synthetic forecast/demo
2026-09-18,MAS-SBC,14,16,84,0.66,Synthetic forecast/demo
2026-09-19,MAS-CBE,9,9,108,0.76,Synthetic forecast/demo
2026-09-19,MAS-MDU,15,18,165,0.67,Synthetic forecast/demo
2026-09-19,MDU-NCJ,14,15,217,0.56,Synthetic forecast/demo
2026-09-19,MAS-SBC,8,9,195,0.81,Synthetic forecast/demo
