route_id,from_station,to_station,distance_km,max_speed_kmph,track_count,capacity_trains_per_day
R001,MAS,AJJ,69,110,2,160
R002,AJJ,KPD,66,110,2,160
R003,KPD,SA,94,110,2,160
R004,SA,ED,65,110,2,160
R005,ED,CBE,100,110,2,160
R006,CBE,ED,100,110,2,160
R007,ED,SA,65,110,2,160
R008,SA,KPD,94,110,2,160
R009,KPD,AJJ,66,110,2,160
R010,AJJ,MAS,69,110,2,160
R011,MAS,VM,160,100,2,130
R012,VM,VRI,43,100,2,130
R013,VRI,TPJ,178,100,2,130
R014,TPJ,MDU,161,100,2,130
R015,MDU,TEN,157,100,2,130
R016,TEN,NCJ,72,100,2,130
R017,NCJ,TEN,72,100,2,130
R018,TEN,MDU,157,100,2,130
R019,MDU,TPJ,161,100,2,130
R020,TPJ,VRI,178,100,2,130
R021,VRI,VM,43,100,2,130
R022,VM,MAS,160,100,2,130
R023,MAS,TPTY,140,100,2,130
R024,TPTY,MAS,140,100,2,130
R025,MAS,SBC,362,90,2,120
R026,SBC,MAS,362,90,2,120
