traffic_id,date,hour,route_id,track_occupancy_pct,section_utilization_pct,average_delay_min,traffic_status
TRF001-6,2026-09-05,6,R001,47,59,9,Normal
TRF001-8,2026-09-05,8,R001,71,50,5,Normal
TRF001-10,2026-09-05,10,R001,45,66,7,Normal
TRF001-12,2026-09-05,12,R001,39,78,9,Normal
TRF001-14,2026-09-05,14,R001,45,81,8,Normal
TRF001-16,2026-09-05,16,R001,38,73,6,Normal
TRF001-18,2026-09-05,18,R001,71,69,7,Normal
TRF001-20,2026-09-05,20,R001,40,82,7,Normal
TRF001-22,2026-09-05,22,R001,42,66,9,Normal
TRF002-6,2026-09-05,6,R002,51,74,8,Normal
TRF002-8,2026-09-05,8,R002,83,65,6,Normal
TRF002-10,2026-09-05,10,R002,43,76,10,Normal
TRF002-12,2026-09-05,12,R002,48,61,6,Normal
TRF002-14,2026-09-05,14,R002,53,77,9,Normal
TRF002-16,2026-09-05,16,R002,44,72,8,Normal
TRF002-18,2026-09-05,18,R002,70,78,8,Normal
TRF002-20,2026-09-05,20,R002,53,70,8,Normal
TRF002-22,2026-09-05,22,R002,53,55,7,Normal
TRF003-6,2026-09-05,6,R003,49,63,7,Normal
TRF003-8,2026-09-05,8,R003,83,61,9,Busy
TRF003-10,2026-09-05,10,R003,41,66,8,Normal
TRF003-12,2026-09-05,12,R003,57,77,9,Normal
TRF003-14,2026-09-05,14,R003,50,65,9,Normal
TRF003-16,2026-09-05,16,R003,51,57,5,Normal
TRF003-18,2026-09-05,18,R003,66,74,8,Busy
TRF003-20,2026-09-05,20,R003,57,65,8,Normal
TRF003-22,2026-09-05,22,R003,57,66,8,Normal
TRF004-6,2026-09-05,6,R004,52,66,7,Normal
TRF004-8,2026-09-05,8,R004,68,74,7,Busy
TRF004-10,2026-09-05,10,R004,57,74,8,Normal
TRF004-12,2026-09-05,12,R004,61,69,7,Normal
TRF004-14,2026-09-05,14,R004,56,53,5,Normal
TRF004-16,2026-09-05,16,R004,47,60,8,Normal
TRF004-18,2026-09-05,18,R004,70,66,10,Busy
TRF004-20,2026-09-05,20,R004,54,77,6,Normal
TRF004-22,2026-09-05,22,R004,55,60,7,Normal
TRF005-6,2026-09-05,6,R005,66,52,8,Normal
TRF005-8,2026-09-05,8,R005,82,64,5,Busy
TRF005-10,2026-09-05,10,R005,61,64,8,Normal
TRF005-12,2026-09-05,12,R005,61,86,7,Normal
TRF005-14,2026-09-05,14,R005,53,71,8,Normal
TRF005-16,2026-09-05,16,R005,70,78,8,Normal
TRF005-18,2026-09-05,18,R005,91,58,6,Busy
TRF005-20,2026-09-05,20,R005,54,66,5,Normal
TRF005-22,2026-09-05,22,R005,65,67,5,Normal
TRF006-6,2026-09-05,6,R006,57,73,9,Normal
TRF006-8,2026-09-05,8,R006,95,99,8,Busy
TRF006-10,2026-09-05,10,R006,58,48,8,Normal
TRF006-12,2026-09-05,12,R006,59,65,6,Normal
TRF006-14,2026-09-05,14,R006,64,80,8,Normal
TRF006-16,2026-09-05,16,R006,63,59,4,Normal
TRF006-18,2026-09-05,18,R006,81,69,11,Busy
TRF006-20,2026-09-05,20,R006,65,79,7,Normal
TRF006-22,2026-09-05,22,R006,56,60,6,Normal
TRF007-6,2026-09-05,6,R007,83,61,9,Normal
TRF007-8,2026-09-05,8,R007,82,79,8,Busy
TRF007-10,2026-09-05,10,R007,67,69,6,Normal
TRF007-12,2026-09-05,12,R007,72,65,5,Normal
TRF007-14,2026-09-05,14,R007,60,71,11,Normal
TRF007-16,2026-09-05,16,R007,70,68,8,Normal
TRF007-18,2026-09-05,18,R007,95,72,7,Busy
TRF007-20,2026-09-05,20,R007,76,74,11,Normal
TRF007-22,2026-09-05,22,R007,70,57,5,Normal
TRF008-6,2026-09-05,6,R008,56,87,7,Normal
TRF008-8,2026-09-05,8,R008,62,84,5,Normal
TRF008-10,2026-09-05,10,R008,38,76,7,Normal
TRF008-12,2026-09-05,12,R008,44,68,8,Normal
TRF008-14,2026-09-05,14,R008,54,70,9,Normal
TRF008-16,2026-09-05,16,R008,30,69,6,Normal
TRF008-18,2026-09-05,18,R008,56,61,7,Normal
TRF008-20,2026-09-05,20,R008,51,56,8,Normal
TRF008-22,2026-09-05,22,R008,41,66,10,Normal
TRF009-6,2026-09-05,6,R009,52,83,7,Normal
TRF009-8,2026-09-05,8,R009,64,67,8,Normal
TRF009-10,2026-09-05,10,R009,50,59,8,Normal
TRF009-12,2026-09-05,12,R009,50,95,11,Normal
TRF009-14,2026-09-05,14,R009,43,67,5,Normal
TRF009-16,2026-09-05,16,R009,44,73,10,Normal
TRF009-18,2026-09-05,18,R009,63,63,3,Normal
TRF009-20,2026-09-05,20,R009,47,59,6,Normal
TRF009-22,2026-09-05,22,R009,42,69,4,Normal
TRF010-6,2026-09-05,6,R010,42,91,5,Normal
TRF010-8,2026-09-05,8,R010,65,88,13,Busy
TRF010-10,2026-09-05,10,R010,44,66,8,Normal
TRF010-12,2026-09-05,12,R010,65,60,7,Normal
TRF010-14,2026-09-05,14,R010,58,74,7,Normal
TRF010-16,2026-09-05,16,R010,52,56,7,Normal
TRF010-18,2026-09-05,18,R010,71,72,6,Busy
TRF010-20,2026-09-05,20,R010,56,80,8,Normal
TRF010-22,2026-09-05,22,R010,55,70,8,Normal
TRF011-6,2026-09-05,6,R011,51,73,7,Normal
TRF011-8,2026-09-05,8,R011,91,85,8,Busy
TRF011-10,2026-09-05,10,R011,51,58,10,Normal
TRF011-12,2026-09-05,12,R011,58,74,4,Normal
TRF011-14,2026-09-05,14,R011,63,74,5,Normal
TRF011-16,2026-09-05,16,R011,53,72,8,Normal
TRF011-18,2026-09-05,18,R011,74,68,7,Busy
TRF011-20,2026-09-05,20,R011,58,84,2,Normal
TRF011-22,2026-09-05,22,R011,55,71,8,Normal
TRF012-6,2026-09-05,6,R012,58,52,8,Normal
TRF012-8,2026-09-05,8,R012,93,54,9,Busy
TRF012-10,2026-09-05,10,R012,58,69,5,Normal
TRF012-12,2026-09-05,12,R012,58,83,9,Normal
TRF012-14,2026-09-05,14,R012,73,81,8,Normal
TRF012-16,2026-09-05,16,R012,73,74,9,Normal
TRF012-18,2026-09-05,18,R012,78,70,6,Busy
TRF012-20,2026-09-05,20,R012,67,58,9,Normal
TRF012-22,2026-09-05,22,R012,59,81,9,Normal
TRF013-6,2026-09-05,6,R013,77,77,4,Normal
TRF013-8,2026-09-05,8,R013,84,58,6,Busy
TRF013-10,2026-09-05,10,R013,75,76,6,Normal
TRF013-12,2026-09-05,12,R013,57,70,5,Normal
TRF013-14,2026-09-05,14,R013,60,73,10,Normal
TRF013-16,2026-09-05,16,R013,69,47,8,Normal
TRF013-18,2026-09-05,18,R013,85,74,11,Busy
TRF013-20,2026-09-05,20,R013,50,64,9,Normal
TRF013-22,2026-09-05,22,R013,53,84,8,Normal
TRF014-6,2026-09-05,6,R014,74,64,9,Normal
TRF014-8,2026-09-05,8,R014,95,72,8,Busy
TRF014-10,2026-09-05,10,R014,70,61,7,Normal
TRF014-12,2026-09-05,12,R014,67,73,9,Normal
TRF014-14,2026-09-05,14,R014,61,68,10,Normal
TRF014-16,2026-09-05,16,R014,63,61,8,Normal
TRF014-18,2026-09-05,18,R014,94,70,10,Busy
TRF014-20,2026-09-05,20,R014,74,78,9,Normal
TRF014-22,2026-09-05,22,R014,85,67,3,Normal
TRF015-6,2026-09-05,6,R015,56,65,8,Normal
TRF015-8,2026-09-05,8,R015,74,53,5,Normal
TRF015-10,2026-09-05,10,R015,33,62,8,Normal
TRF015-12,2026-09-05,12,R015,48,72,5,Normal
TRF015-14,2026-09-05,14,R015,28,70,7,Normal
TRF015-16,2026-09-05,16,R015,48,77,8,Normal
TRF015-18,2026-09-05,18,R015,70,72,9,Normal
TRF015-20,2026-09-05,20,R015,40,68,8,Normal
TRF015-22,2026-09-05,22,R015,50,66,9,Normal
TRF016-6,2026-09-05,6,R016,47,68,9,Normal
TRF016-8,2026-09-05,8,R016,55,57,5,Normal
TRF016-10,2026-09-05,10,R016,32,63,9,Normal
TRF016-12,2026-09-05,12,R016,47,71,10,Normal
TRF016-14,2026-09-05,14,R016,58,69,10,Normal
TRF016-16,2026-09-05,16,R016,49,61,6,Normal
TRF016-18,2026-09-05,18,R016,58,61,7,Normal
TRF016-20,2026-09-05,20,R016,54,87,5,Normal
TRF016-22,2026-09-05,22,R016,51,59,8,Normal
TRF017-6,2026-09-05,6,R017,52,51,9,Normal
TRF017-8,2026-09-05,8,R017,68,64,5,Busy
TRF017-10,2026-09-05,10,R017,48,74,7,Normal
TRF017-12,2026-09-05,12,R017,55,73,10,Normal
TRF017-14,2026-09-05,14,R017,50,55,10,Normal
TRF017-16,2026-09-05,16,R017,50,81,8,Normal
TRF017-18,2026-09-05,18,R017,72,73,11,Busy
TRF017-20,2026-09-05,20,R017,67,70,8,Normal
TRF017-22,2026-09-05,22,R017,60,61,8,Normal
TRF018-6,2026-09-05,6,R018,56,73,6,Normal
TRF018-8,2026-09-05,8,R018,65,49,5,Busy
TRF018-10,2026-09-05,10,R018,53,67,11,Normal
TRF018-12,2026-09-05,12,R018,64,60,8,Normal
TRF018-14,2026-09-05,14,R018,54,67,8,Normal
TRF018-16,2026-09-05,16,R018,61,66,10,Normal
TRF018-18,2026-09-05,18,R018,69,70,13,Busy
TRF018-20,2026-09-05,20,R018,58,84,8,Normal
TRF018-22,2026-09-05,22,R018,61,69,7,Normal
TRF019-6,2026-09-05,6,R019,55,74,6,Normal
TRF019-8,2026-09-05,8,R019,85,80,8,Busy
TRF019-10,2026-09-05,10,R019,58,74,7,Normal
TRF019-12,2026-09-05,12,R019,67,51,7,Normal
TRF019-14,2026-09-05,14,R019,47,55,10,Normal
TRF019-16,2026-09-05,16,R019,67,62,4,Normal
TRF019-18,2026-09-05,18,R019,60,64,12,Busy
TRF019-20,2026-09-05,20,R019,64,64,8,Normal
TRF019-22,2026-09-05,22,R019,50,67,8,Normal
TRF020-6,2026-09-05,6,R020,64,77,8,Normal
TRF020-8,2026-09-05,8,R020,89,63,9,Busy
TRF020-10,2026-09-05,10,R020,76,60,6,Normal
TRF020-12,2026-09-05,12,R020,74,68,10,Normal
TRF020-14,2026-09-05,14,R020,61,84,8,Normal
TRF020-16,2026-09-05,16,R020,66,85,7,Normal
TRF020-18,2026-09-05,18,R020,78,65,8,Busy
TRF020-20,2026-09-05,20,R020,54,76,6,Normal
TRF020-22,2026-09-05,22,R020,73,46,6,Normal
TRF021-6,2026-09-05,6,R021,57,61,8,Normal
TRF021-8,2026-09-05,8,R021,87,67,7,Busy
TRF021-10,2026-09-05,10,R021,70,59,9,Normal
TRF021-12,2026-09-05,12,R021,73,73,9,Normal
TRF021-14,2026-09-05,14,R021,71,90,7,Normal
TRF021-16,2026-09-05,16,R021,66,62,5,Normal
TRF021-18,2026-09-05,18,R021,80,61,7,Busy
TRF021-20,2026-09-05,20,R021,71,70,6,Normal
TRF021-22,2026-09-05,22,R021,75,77,7,Normal
TRF022-6,2026-09-05,6,R022,40,75,8,Normal
TRF022-8,2026-09-05,8,R022,54,69,8,Normal
TRF022-10,2026-09-05,10,R022,38,71,5,Normal
TRF022-12,2026-09-05,12,R022,54,82,7,Normal
TRF022-14,2026-09-05,14,R022,47,45,5,Normal
TRF022-16,2026-09-05,16,R022,42,59,9,Normal
TRF022-18,2026-09-05,18,R022,78,58,6,Normal
TRF022-20,2026-09-05,20,R022,46,86,5,Normal
TRF022-22,2026-09-05,22,R022,46,88,4,Normal
TRF023-6,2026-09-05,6,R023,40,65,6,Normal
TRF023-8,2026-09-05,8,R023,74,72,4,Normal
TRF023-10,2026-09-05,10,R023,52,64,10,Normal
TRF023-12,2026-09-05,12,R023,44,63,9,Normal
TRF023-14,2026-09-05,14,R023,54,74,4,Normal
TRF023-16,2026-09-05,16,R023,52,59,8,Normal
TRF023-18,2026-09-05,18,R023,59,74,6,Normal
TRF023-20,2026-09-05,20,R023,40,77,8,Normal
TRF023-22,2026-09-05,22,R023,44,84,7,Normal
TRF024-6,2026-09-05,6,R024,53,72,6,Normal
TRF024-8,2026-09-05,8,R024,76,64,7,Busy
